Código;Nível;Unidade;Ativa;"Nome da Disciplina";"Nome Abreviado";"Nome em Inglês";
01209;Graduação;C3;Sim;"ALGORITMO E PROGRAMAÇÃO DE COMPUTADORES I";"Algor. Pro. Comp. I";"Algorithm and Computer Programming I"
01214;Graduação;C3;Sim;"ALGORITMO E PROGRAMAÇÃO DE COMPUTADORES II";"Algor. Pro. Comp. II";"Algorithm and Computer Programming II"
23052;Graduação;C3;Sim;"Algoritmos Computacionais";"Algoritmos Computac.";"Computational Algorithms"
23067;Graduação;C3;Sim;"Algoritmos Computacionais";"Algoritmos Computac.";"Computational Algorithms"
23106;Graduação;C3;Sim;"Algoritmos Computacionais I";"Alg. Comp. I";
23107;Graduação;C3;Sim;"Algoritmos Computacionais II";"Alg. Comp. II";
23034P;Pós-Graduação;C3;Sim;"Algoritmos e Estruturas de Dados";"Algorit e Estr Dados";"Algorithms and Data Structures"
23084;Graduação;C3;Sim;"Algoritmos e Estruturas de Dados I";"Algor. Estr. Dados I";"Algorithms and Data Structures I"
23085;Graduação;C3;Sim;"Algoritmos e Estruturas de Dados II";"Algor. Est. Dados II";"Algorithms and Data Structures II"
03043P;Pós-Graduação;C3;Sim;"Algoritmos e Programas";"ALGORITMOS E PROGRAM";"Algorithms and Programs"
23108;Graduação;C3;Sim;"Algoritmos para Engenharia de Automação";"Algorit. Eng. Aut.";"Algorithms for Automation Engineering"
01137;Graduação;C3;Sim;"ANALISE DE ALGORITMOS";"Análise  Algorítimos";"Analysis of algorithms"
23052P;Pós-Graduação;C3;Sim;"Introdução e Algoritmos para Biologia Computacional";"Int Alg p Biol Comp";"Introduction to Algorythms for Computaotinal Biology"
